UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 12m23 ?      00:00:07 /sbin/init splash
root           2       0  0 12m23 ?      00:00:00 [kthreadd]
root           3       2  0 12m23 ?      00:00:00 [ksoftirqd/0]
root           5       2  0 12m23 ?      00:00:00 [kworker/0:0H]
root           6       2  0 12m23 ?      00:00:00 [kworker/u896:0]
root           8       2  0 12m23 ?      00:00:41 [rcu_sched]
root           9       2  0 12m23 ?      00:00:00 [rcu_bh]
root          10       2  0 12m23 ?      00:00:00 [migration/0]
root          11       2  0 12m23 ?      00:00:00 [watchdog/0]
root          12       2  0 12m23 ?      00:00:00 [watchdog/1]
root          13       2  0 12m23 ?      00:00:00 [migration/1]
root          14       2  0 12m23 ?      00:00:00 [ksoftirqd/1]
root          16       2  0 12m23 ?      00:00:00 [kworker/1:0H]
root          18       2  0 12m23 ?      00:00:00 [watchdog/2]
root          19       2  0 12m23 ?      00:00:00 [migration/2]
root          20       2  0 12m23 ?      00:00:00 [ksoftirqd/2]
root          22       2  0 12m23 ?      00:00:00 [kworker/2:0H]
root          23       2  0 12m23 ?      00:00:00 [watchdog/3]
root          24       2  0 12m23 ?      00:00:00 [migration/3]
root          25       2  0 12m23 ?      00:00:00 [ksoftirqd/3]
root          27       2  0 12m23 ?      00:00:00 [kworker/3:0H]
root          28       2  0 12m23 ?      00:00:00 [watchdog/4]
root          29       2  0 12m23 ?      00:00:00 [migration/4]
root          30       2  0 12m23 ?      00:00:00 [ksoftirqd/4]
root          32       2  0 12m23 ?      00:00:00 [kworker/4:0H]
root          33       2  0 12m23 ?      00:00:00 [watchdog/5]
root          34       2  0 12m23 ?      00:00:00 [migration/5]
root          35       2  0 12m23 ?      00:00:00 [ksoftirqd/5]
root          37       2  0 12m23 ?      00:00:00 [kworker/5:0H]
root          38       2  0 12m23 ?      00:00:00 [watchdog/6]
root          39       2  0 12m23 ?      00:00:00 [migration/6]
root          40       2  0 12m23 ?      00:00:00 [ksoftirqd/6]
root          42       2  0 12m23 ?      00:00:00 [kworker/6:0H]
root          43       2  0 12m23 ?      00:00:00 [watchdog/7]
root          44       2  0 12m23 ?      00:00:00 [migration/7]
root          45       2  0 12m23 ?      00:00:00 [ksoftirqd/7]
root          47       2  0 12m23 ?      00:00:00 [kworker/7:0H]
root          48       2  0 12m23 ?      00:00:00 [watchdog/8]
root          49       2  0 12m23 ?      00:00:00 [migration/8]
root          50       2  0 12m23 ?      00:00:00 [ksoftirqd/8]
root          52       2  0 12m23 ?      00:00:00 [kworker/8:0H]
root          53       2  0 12m23 ?      00:00:00 [watchdog/9]
root          54       2  0 12m23 ?      00:00:00 [migration/9]
root          55       2  0 12m23 ?      00:00:00 [ksoftirqd/9]
root          57       2  0 12m23 ?      00:00:00 [kworker/9:0H]
root          58       2  0 12m23 ?      00:00:00 [watchdog/10]
root          59       2  0 12m23 ?      00:00:00 [migration/10]
root          60       2  0 12m23 ?      00:00:01 [ksoftirqd/10]
root          62       2  0 12m23 ?      00:00:00 [kworker/10:0H]
root          63       2  0 12m23 ?      00:00:00 [watchdog/11]
root          64       2  0 12m23 ?      00:00:00 [migration/11]
root          65       2  0 12m23 ?      00:00:00 [ksoftirqd/11]
root          67       2  0 12m23 ?      00:00:00 [kworker/11:0H]
root          68       2  0 12m23 ?      00:00:00 [watchdog/12]
root          69       2  0 12m23 ?      00:00:00 [migration/12]
root          70       2  0 12m23 ?      00:00:00 [ksoftirqd/12]
root          72       2  0 12m23 ?      00:00:00 [kworker/12:0H]
root          73       2  0 12m23 ?      00:00:00 [watchdog/13]
root          74       2  0 12m23 ?      00:00:00 [migration/13]
root          75       2  0 12m23 ?      00:00:00 [ksoftirqd/13]
root          77       2  0 12m23 ?      00:00:00 [kworker/13:0H]
root          78       2  0 12m23 ?      00:00:00 [watchdog/14]
root          79       2  0 12m23 ?      00:00:00 [migration/14]
root          80       2  0 12m23 ?      00:00:00 [ksoftirqd/14]
root          82       2  0 12m23 ?      00:00:00 [kworker/14:0H]
